chr	start	end
chr10	10656203	10656313
chr10	10675735	10675961
chr10	10695243	10695584
chr10	10800195	10800938
chr10	10801465	10801562
chr10	10801799	10802056
chr10	10868982	10869791
chr10	10973954	10974411
chr10	11000415	11001936
chr10	11060591	11060732
chr10	11063121	11063916
chr10	11169747	11170059
chr10	11176940	11177055
chr10	11207200	11207385
chr10	11211831	11212045
chr10	11329074	11329188
chr10	11355659	11356391
chr10	11414059	11414502
chr10	11415128	11415741
chr10	11415910	11416032
chr10	11416251	11416375
chr10	11419364	11419625
chr10	11420848	11421083
chr10	11421890	11422109
chr10	11473007	11473093
chr10	11514143	11514247
chr10	11620433	11620960
chr10	11622922	11623103
chr10	11920998	11921137
chr10	11986340	11986865
chr10	12105866	12106504
chr10	12329436	12329631
chr10	12586879	12587539
chr10	12587951	12589456
chr10	12642385	12642886
chr10	12661011	12661679
chr10	12683407	12683551
chr10	12683815	12684463
chr10	12713271	12713658
chr10	12715476	12715712
chr10	12723288	12723698
chr10	12728132	12728927
chr10	12780745	12781073
chr10	12809802	12809864
chr10	12810254	12811374
chr10	12811510	12811615
chr10	12847136	12847314
chr10	12912664	12913014
chr10	13043676	13044093
chr10	13132601	13132686
chr10	13144386	13144686
chr10	13192804	13192938
chr10	13193601	13194438
chr10	13220943	13221234
chr10	13272785	13273257
chr10	13281516	13282020
chr10	13282160	13282567
chr10	13284625	13284731
chr10	13325372	13325648
chr10	13412357	13412606
chr10	13557812	13557969
chr10	13588358	13588962
chr10	13612995	13614097
chr10	13614677	13614987
chr10	13684372	13686231
chr10	13686402	13687022
chr10	13687167	13688034
chr10	13702675	13703026
chr10	13847677	13848114
chr10	13848634	13849391
chr10	13850560	13850749
chr10	13851331	13851538
chr10	13851734	13852192
chr10	14242963	14243069
chr10	14264651	14265469
chr10	14279511	14279875
chr10	14332851	14332991
chr10	14366649	14366892
chr10	14367045	14367153
chr10	14424963	14425470
chr10	14466974	14467145
chr10	14479928	14480429
chr10	14642736	14643168
chr10	14643361	14643486
chr10	14783714	14784481
chr10	14804845	14804994
chr10	14832680	14832860
chr10	14899796	14900142
chr10	14902977	14903384
chr10	14912726	14912821
chr10	14915190	14915285
chr10	14917653	14917748
chr10	15062015	15062612
chr10	15066219	15066415
chr10	15107074	15107152
chr10	15196467	15196656
chr10	15292684	15293441
chr10	15320842	15321071
chr10	15345362	15346631
chr10	15354765	15355582
chr10	15500438	15500838
chr10	15616419	15616539
chr10	15655281	15655678
chr10	15657407	15657817
chr10	16024042	16024256
chr10	16364686	16364868
chr10	16411986	16412400
chr10	16497331	16497770
chr10	16540319	16540581
chr10	16863418	16863561
chr10	17036977	17037033
chr10	17038001	17039351
chr10	17039748	17040308
chr10	17040802	17041035
chr10	17041375	17041995
chr10	17042501	17042655
chr10	17042943	17043274
chr10	17043502	17043822
chr10	17044015	17044169
chr10	17441567	17442369
chr10	17442518	17444582
chr10	17450864	17451115
chr10	17547243	17547441
chr10	17634968	17635078
chr10	17667089	17667498
chr10	17667621	17668109
chr10	17742130	17742234
chr10	17742395	17743183
chr10	17744531	17744781
chr10	17775040	17775761
chr10	17775926	17776269
chr10	17796861	17797149
chr10	17844608	17844778
chr10	17859005	17859348
chr10	17914581	17914719
chr10	17933802	17933928
chr10	17941802	17941998
chr10	17954377	17955505
chr10	17959057	17959449
chr10	17961231	17961460
chr10	17983839	17984086
chr10	18037624	18037841
chr10	18038013	18039258
chr10	18109999	18110270
chr10	18127360	18127579
chr10	18182960	18183254
chr10	18190317	18190480
chr10	18192994	18193085
chr10	18233154	18233445
chr10	18245206	18245366
chr10	18246309	18246413
chr10	18246547	18246680
chr10	18251301	18251611
chr10	18265301	18265373
chr10	18265493	18265752
chr10	18269101	18269784
chr10	18311654	18311816
chr10	18380125	18380222
chr10	18436397	18436519
chr10	18461810	18461889
chr10	18463310	18463779
chr10	18564757	18565233
chr10	18734640	18735161
chr10	18955026	18955209
chr10	18981748	18981928
chr10	19072329	19072528
chr10	19072902	19072991
chr10	19076516	19077428
chr10	19081815	19082026
chr10	19205714	19206015
chr10	19258753	19259045
chr10	19260516	19260619
chr10	19263922	19264707
chr10	19265392	19265792
chr10	19311513	19312143
chr10	19324607	19324703
chr10	19329242	19329391
chr10	19411879	19411996
chr10	19427789	19427929
chr10	19432403	19432846
chr10	19517429	19517544
chr10	19518329	19518632
chr10	19537359	19537494
chr10	19538680	19538847
chr10	19568918	19570052
chr10	19570374	19572001
chr10	19590719	19590944
chr10	19592342	19592459
chr10	19627234	19627505
chr10	19653444	19655169
chr10	19705074	19705309
chr10	19730536	19730768
chr10	19735287	19735440
chr10	19735783	19736462
chr10	19737194	19737584
chr10	19790527	19790648
chr10	19844512	19844744
chr10	19851847	19851929
chr10	19860474	19860570
chr10	19861248	19861460
chr10	19868160	19869991
chr10	19925172	19925344
chr10	20000568	20000736
chr10	20006657	20006798
chr10	20031753	20033338
chr10	20042932	20043042
chr10	20067504	20067845
chr10	20119828	20120415
chr10	20121089	20121284
chr10	20223136	20223248
chr10	20248906	20249082
chr10	20329983	20330073
chr10	20369084	20369243
chr10	20435795	20435951
chr10	20444433	20444560
chr10	20444745	20445064
chr10	20671913	20673000
chr10	20674160	20674311
chr10	20687743	20687966
chr10	20691056	20691162
chr10	20692755	20692931
chr10	20699303	20699431
chr10	20713879	20713996
chr10	20811725	20811817
chr10	20864812	20864953
chr10	20878573	20879265
chr10	20879458	20879909
chr10	20880118	20880687
chr10	20880821	20881251
chr10	20931050	20931696
chr10	20932282	20932588
chr10	20934448	20934695
chr10	20936050	20936220
chr10	20998323	20998431
chr10	21015696	21016454
chr10	21073264	21073400
chr10	21101923	21102347
chr10	21109290	21109394
chr10	21123994	21124115
chr10	21140443	21140748
chr10	21185139	21185369
chr10	21190654	21190766
chr10	21232448	21232649
chr10	21241289	21241519
chr10	21267297	21267462
chr10	21267712	21267943
chr10	21279640	21279746
chr10	21312814	21313223
chr10	21362224	21362465
chr10	21363862	21364041
chr10	21366938	21367062
chr10	21367601	21368117
chr10	21368751	21369306
chr10	21372750	21373099
chr10	21388753	21389179
chr10	21410353	21410472
chr10	21410639	21410905
chr10	21446339	21446843
chr10	21450066	21450384
chr10	21455167	21455754
chr10	21461871	21462061
chr10	21602105	21602402
chr10	21643888	21644101
chr10	21711466	21711640
chr10	21712581	21713063
chr10	21713295	21713454
chr10	21713640	21714720
chr10	21715239	21715356
chr10	21718515	21719133
chr10	21730071	21730212
chr10	21778262	21778902
chr10	21809536	21809799
chr10	21811014	21811455
chr10	21864118	21864235
chr10	21868391	21870249
chr10	21870452	21871035
chr10	21871173	21871498
chr10	21874082	21874370
chr10	21878216	21878584
chr10	21878770	21879387
chr10	21879550	21879909
chr10	21940901	21941055
chr10	21971545	21971713
chr10	21993151	21993425
chr10	21993704	21994074
chr10	22059116	22059278
chr10	22101568	22101707
chr10	22131142	22131296
chr10	22161762	22161916
chr10	22212254	22212389
chr10	22243118	22243377
chr10	22244778	22244843
chr10	22247829	22247953
chr10	22248236	22249087
chr10	22249903	22250136
chr10	22288971	22289220
chr10	22341498	22341606
chr10	22364321	22364427
chr10	22364722	22365509
chr10	22378363	22378678
chr10	22403039	22403413
chr10	22404808	22404987
chr10	22407884	22408008
chr10	22408547	22409104
chr10	22409633	22410313
chr10	22450473	22451403
chr10	22451555	22451832
chr10	22454624	22456326
chr10	22456501	22456658
chr10	22458407	22459042
chr10	22460074	22460468
chr10	22460722	22460816
chr10	22460952	22461201
chr10	22461391	22461606
chr10	22462048	22462271
chr10	22462914	22463023
chr10	22523170	22523456
chr10	22535758	22536555
chr10	22537439	22537570
chr10	22539068	22539951
chr10	22563889	22564044
chr10	22579162	22579291
chr10	22673664	22673836
chr10	22674076	22674210
chr10	22683377	22683674
chr10	22684303	22684408
chr10	22714849	22715012
chr10	22801093	22801302
chr10	22806389	22806507
chr10	22878926	22879026
chr10	23067971	23068072
chr10	23068272	23068578
chr10	23068722	23070433
chr10	23179195	23179721
chr10	23182744	23183200
chr10	23195465	23195663
chr10	23200869	23201212
chr10	23219267	23219355
chr10	23220852	23221195
chr10	23326636	23326715
chr10	23329508	23329660
chr10	23351639	23351841
chr10	23380884	23381014
chr10	23419196	23419398
chr10	23446225	23446503
chr10	23506375	23506828
chr10	23506964	23507705
chr10	23516595	23517015
chr10	23528400	23528570
chr10	23581737	23581875
chr10	23588021	23588167
chr10	23591190	23591469
chr10	23592940	23593043
chr10	23595951	23596064
chr10	23596309	23597183
chr10	23597856	23598167
chr10	23614765	23615030
chr10	23660489	23661022
chr10	23669684	23670072
chr10	23869125	23869545
chr10	23896383	23896521
chr10	23899732	23899915
chr10	23907475	23907567
chr10	23919229	23919370
chr10	23943366	23943923
chr10	23955362	23955698
chr10	24050742	24050940
chr10	24140671	24140862
chr10	24230809	24231308
chr10	24236931	24237025
chr10	24315290	24316317
chr10	24337652	24337762
chr10	24338065	24338302
chr10	24344997	24345343
chr10	24348451	24348570
chr10	24350336	24350765
chr10	24351394	24351618
chr10	24367011	24367314
chr10	24376913	24377036
chr10	24397651	24397892
chr10	24406361	24406814
chr10	24407343	24407544
chr10	24409569	24409724
chr10	24411116	24411255
chr10	24430901	24432370
chr10	24438217	24438283
chr10	24438529	24438980
chr10	24568154	24568360
chr10	24574496	24574991
chr10	24578973	24579227
chr10	24579735	24579917
chr10	24589517	24590213
chr10	24612357	24612425
chr10	24618337	24618512
chr10	24628466	24628592
chr10	24649601	24649826
chr10	24773142	24773241
chr10	24821431	24821699
chr10	24824675	24825218
chr10	24825882	24826298
chr10	24828813	24828878
chr10	24865674	24865881
chr10	24890591	24890894
chr10	24919815	24920110
chr10	24939948	24940151
chr10	24958205	24958558
chr10	25016193	25016313
chr10	25016550	25017061
chr10	25018904	25019005
chr10	25079391	25080427
chr10	25138832	25139271
chr10	25178387	25178973
chr10	25216368	25216684
chr10	25221428	25221511
chr10	25237838	25237930
chr10	25251208	25251358
chr10	25615718	25615890
chr10	25616098	25616385
chr10	25616642	25616972
chr10	25617232	25617416
chr10	25617925	25618491
chr10	25618888	25619271
chr10	25619579	25620165
chr10	25620587	25621470
chr10	25621755	25621935
chr10	25622540	25622750
chr10	25623667	25623773
chr10	25662156	25662815
chr10	25688304	25688754
chr10	25689331	25689888
chr10	25690057	25690179
chr10	25692793	25693139
chr10	25713125	25713341
chr10	25713722	25714050
chr10	25797543	25798784
chr10	25827583	25827734
chr10	25888311	25888785
chr10	25889254	25889729
chr10	26034277	26034429
chr10	26058139	26058303
chr10	26092738	26093132
chr10	26093298	26093710
chr10	26093867	26094287
chr10	26094492	26094593
chr10	26094783	26095665
chr10	26095794	26096027
chr10	26361237	26361633
chr10	26362738	26362997
chr10	26363974	26364300
chr10	26382887	26382994
chr10	26415383	26415602
chr10	26452414	26452479
chr10	26453896	26454111
chr10	26466652	26466777
chr10	26492443	26492737
chr10	26648711	26648917
chr10	26649092	26649677
chr10	26649873	26650048
chr10	26650465	26651056
chr10	26651422	26651752
chr10	26652113	26652712
chr10	26653216	26653394
chr10	26653692	26653989
chr10	26654297	26654537
chr10	26654730	26654914
chr10	26974671	26974936
chr10	27079747	27080322
chr10	27513158	27513430
chr10	27538327	27545444
chr10	27794288	27794962
chr10	27795096	27796529
chr10	28246758	28246988
chr10	28627505	28627626
chr10	28653973	28654462
chr10	28730139	28730556
chr10	28733393	28733652
chr10	28733860	28733999
chr10	28749930	28750040
chr10	28750308	28750429
chr10	28863378	28864113
chr10	28866532	28867627
chr10	28868023	28868162
chr10	28916363	28917381
chr10	28963058	28963330
chr10	29007333	29007529
chr10	29009127	29009372
chr10	29033031	29033452
chr10	29081276	29082032
chr10	29160531	29160823
chr10	29252771	29253434
chr10	29255270	29255872
chr10	29339472	29339873
chr10	29419027	29419181
chr10	29443818	29443925
chr10	29594405	29594527
chr10	29594700	29594916
chr10	29673605	29673761
chr10	29678974	29679558
chr10	29730775	29730900
chr10	29857113	29857253
chr10	29919899	29920402
chr10	29935975	29936882
chr10	30016278	30016445
chr10	30036415	30036621
chr10	30201219	30201730
chr10	30202255	30202636
chr10	30205059	30205404
chr10	30218172	30218364
chr10	30319964	30320594
chr10	30337991	30338415
chr10	30522422	30523213
chr10	30533877	30534255
chr10	30534944	30535749
chr10	30539016	30539153
chr10	30540629	30540880
chr10	30562176	30563255
chr10	30563426	30563766
chr10	30564006	30564614
chr10	30620923	30621150
chr10	30621292	30621436
chr10	30624823	30624975
chr10	30774833	30775295
chr10	30808499	30809045
chr10	30809551	30810371
chr10	30810699	30810818
chr10	30813700	30813921
chr10	30815313	30815625
chr10	30968384	30968637
chr10	31033269	31033544
chr10	31077677	31077750
chr10	31133697	31133959
chr10	31165086	31165806
chr10	31202514	31202947
chr10	31203553	31204313
chr10	31207645	31207866
chr10	31209222	31209399
chr10	31328436	31329840
chr10	31392515	31392946
chr10	31425142	31425442
chr10	31470051	31470399
chr10	31472789	31473010
chr10	31474404	31474542
chr10	31528038	31528220
chr10	31605695	31605886
chr10	31901830	31902177
chr10	32219100	32219505
chr10	32240194	32240440
chr10	32409857	32410082
chr10	32542572	32543373
chr10	32609578	32610280
chr10	32656498	32657006
chr10	32658694	32658997
chr10	32691841	32692479
chr10	32726822	32726928
chr10	32898624	32898772
chr10	33228855	33229079
chr10	33298101	33298313
chr10	33344212	33344413
chr10	33396136	33396193
chr10	33396630	33396913
chr10	33409296	33409505
chr10	33485761	33485919
chr10	33541410	33541712
chr10	33555777	33555987
chr10	33606715	33607253
chr10	33607889	33608162
chr10	33610537	33610880
chr10	33670711	33671113
chr10	33738938	33739872
chr10	33753795	33753961
chr10	33847292	33847511
chr10	33872460	33872710
chr10	33926410	33928013
chr10	33978289	33978380
chr10	34001781	34003169
chr10	34017167	34018065
chr10	34138076	34138450
chr10	34154352	34155249
chr10	34350534	34350650
chr10	34413668	34413850
chr10	34458791	34459148
chr10	34460301	34460833
chr10	34461572	34461946
chr10	34463444	34463547
chr10	34466445	34466569
chr10	34466851	34467624
chr10	34468337	34468942
chr10	34469171	34469418
chr10	34493802	34493970
chr10	34495194	34495589
chr10	34618738	34618962
chr10	34640325	34640606
chr10	35029964	35030920
chr10	35070949	35071488
chr10	35241193	35241638
chr10	35396415	35398125
chr10	35431336	35431682
chr10	35444677	35444860
chr10	35996064	35996173
chr10	36226689	36228068
chr10	36498596	36498699
chr10	36499092	36499647
chr10	36553032	36553209
chr10	36693967	36695065
chr10	36855955	36856333
chr10	36856451	36857366
chr10	36857801	36858003
chr10	36858162	36858482
chr10	36858748	36858847
chr10	36859025	36859227
chr10	36859672	36861143
chr10	37171000	37171135
chr10	37427588	37428401
chr10	37455892	37456120
chr10	37503210	37503302
chr10	37571254	37571515
chr10	37573327	37573644
chr10	37655263	37655449
chr10	37681578	37681773
chr10	37690472	37690824
chr10	37767094	37767487
chr10	37984055	37984252
chr10	38310068	38310606
chr10	38313327	38313567
chr10	38357785	38358010
chr10	38462672	38462893
chr10	38475095	38475392
chr10	38492373	38493000
chr10	38652586	38652905
chr10	38653031	38653493
chr10	38676884	38677113
chr10	38685364	38685522
chr10	38853402	38854077
chr10	38854868	38855007
chr10	38889880	38890033
chr10	38891089	38891404
chr10	38892085	38892287
chr10	38892912	38893053
chr10	39069588	39069708
chr10	39089387	39090267
chr10	39106135	39106311
chr10	39216531	39216725
chr10	39235783	39236031
chr10	39246607	39246770
chr10	39265163	39265293
chr10	39283684	39283807
chr10	39303609	39303727
chr10	39309028	39309138
chr10	39310174	39310481
chr10	39351530	39351676
chr10	39450877	39452527
chr10	39452649	39453105
chr10	39472454	39472585
chr10	39480640	39481055
chr10	39483914	39484418
chr10	39618561	39619453
chr10	39646135	39646299
chr10	39646571	39646888
chr10	39679535	39680341
chr10	39691153	39691770
chr10	39744660	39745282
chr10	39762314	39762415
chr10	39861488	39862334
chr10	39883893	39884440
chr10	39884653	39885052
chr10	39911374	39911677
chr10	39930041	39930136
chr10	39966561	39966996
chr10	39977284	39978005
chr10	39978174	39978266
chr10	40020357	40021749
chr10	40021928	40022765
chr10	40041840	40042190
chr10	40042807	40042896
chr10	40043313	40043664
chr10	40045483	40045570
chr10	40053743	40053863
chr10	40068198	40069967
chr10	40178928	40179202
chr10	40185866	40186000
chr10	40210092	40210191
chr10	40241672	40241919
chr10	40282049	40282188
chr10	40284952	40285394
chr10	40290253	40290383
chr10	40357164	40357247
chr10	40357826	40357977
chr10	40359426	40359557
chr10	40367590	40367741
chr10	40403014	40403423
chr10	40438344	40438641
chr10	40457589	40457714
chr10	40470937	40471138
chr10	40479556	40479752
chr10	40530243	40530590
chr10	40553247	40553368
chr10	40561200	40561596
chr10	40602554	40602934
chr10	40603151	40603869
chr10	40603994	40604641
chr10	40657505	40657744
chr10	40718661	40718742
chr10	40761924	40762174
chr10	40790648	40791648
chr10	40791951	40792172
chr10	40871320	40871469
chr10	40947965	40948075
chr10	40984367	40984560
chr10	41009118	41009244
chr10	41022702	41023126
chr10	41023486	41023588
chr10	41023717	41023886
chr10	41028785	41029463
chr10	41099689	41099864
chr10	41103887	41104161
chr10	41118831	41119120
chr10	41126577	41126780
chr10	41157004	41158306
chr10	41158422	41158651
chr10	41158833	41158983
chr10	41160740	41161275
chr10	41162399	41162793
chr10	41163299	41163526
chr10	41163791	41164003
chr10	41164400	41164573
chr10	41165215	41165378
chr10	41169602	41170684
chr10	41195940	41196485
chr10	41200986	41201137
chr10	41209852	41210610
chr10	41238430	41238765
chr10	41238898	41240176
chr10	41404256	41404647
chr10	41435208	41435751
chr10	41462980	41463123
chr10	41494601	41494721
chr10	41495363	41495881
chr10	41517859	41517960
chr10	41523178	41523295
chr10	41529300	41531105
chr10	41560415	41560776
chr10	41561455	41562012
chr10	41565544	41565788
chr10	41567143	41567432
chr10	41607096	41607688
chr10	41626185	41626319
chr10	41642022	41642144
chr10	41672547	41672801
chr10	41683356	41683587
chr10	41690943	41691071
chr10	41731675	41731766
chr10	41737903	41738510
chr10	41747363	41747633
chr10	41752890	41753073
chr10	41773988	41774352
chr10	41774514	41775082
chr10	41829154	41829280
chr10	41899447	41899715
chr10	41901775	41901958
chr10	41905171	41905479
chr10	41916825	41917699
chr10	41941522	41941683
chr10	41945122	41945189
chr10	41946214	41946331
chr10	41994563	41998559
chr10	42006146	42006517
chr10	42028138	42028403
chr10	42033222	42033415
chr10	42042660	42042867
chr10	42094715	42095590
chr10	42197992	42198488
chr10	42221668	42222849
chr10	42254700	42254822
chr10	42292558	42292938
chr10	42298070	42298241
chr10	42298440	42298623
chr10	42299068	42299168
chr10	42299279	42300360
chr10	42301585	42302126
chr10	42302322	42304332
chr10	42304457	42304789
chr10	42310851	42311499
chr10	42311649	42312028
chr10	42333696	42334289
chr10	42334887	42335055
chr10	42351459	42351800
chr10	42352038	42352497
chr10	42352623	42352733
chr10	42352905	42353183
chr10	42355377	42356061
chr10	42356412	42356808
chr10	42356959	42357295
chr10	42363974	42364290
chr10	42388563	42388978
chr10	42398635	42399587
chr10	42416195	42416316
chr10	42417970	42418332
chr10	42435025	42435420
chr10	42439572	42440004
chr10	42459988	42460422
chr10	42465853	42466178
chr10	42481141	42482494
chr10	42572462	42572780
chr10	42583633	42584081
chr10	42604655	42604737
chr10	42650235	42650350
chr10	42677249	42677383
chr10	42677637	42678216
chr10	42714379	42714511
chr10	42715501	42715727
chr10	42722978	42723242
chr10	42740704	42742423
chr10	42801643	42801839
chr10	42892947	42893775
chr10	42893943	42895534
chr10	42937113	42937451
chr10	42940855	42941841
chr10	42975469	42975739
chr10	43140558	43140802
chr10	43151923	43152098
chr10	43159983	43160091
chr10	43176082	43176301
chr10	43187251	43187628
chr10	43197778	43197958
chr10	43198144	43198898
chr10	43199056	43199902
chr10	43230085	43231778
chr10	43238415	43238516
chr10	43252565	43252647
chr10	43252945	43253106
chr10	43260075	43260933
chr10	43297605	43297796
chr10	43298192	43300112
chr10	43300634	43300793
chr10	43386978	43387509
chr10	43427908	43428094
chr10	43443139	43443246
chr10	43443447	43443551
chr10	43492336	43492702
chr10	43493425	43493583
chr10	43497876	43498025
chr10	43545972	43546080
chr10	43554735	43554954
chr10	43555932	43556222
chr10	43596971	43597572
chr10	43599487	43599852
chr10	43621135	43622183
chr10	43723327	43724262
chr10	43725553	43725682
chr10	43725876	43726071
chr10	43868392	43868909
chr10	43869100	43869314
chr10	43987983	43988553
chr10	44077190	44077289
chr10	44161056	44161220
chr10	44161567	44161786
chr10	44166905	44167006
chr10	44176568	44176756
chr10	44177008	44177259
chr10	44177747	44177869
chr10	44178368	44178850
chr10	44185321	44185615
chr10	44246888	44248416
chr10	44248711	44249386
chr10	44336693	44336790
chr10	44360807	44360910
chr10	44572450	44572789
chr10	44625612	44626216
chr10	44737441	44737743
chr10	44737942	44738165
chr10	44786788	44787371
chr10	44814856	44815015
chr10	44848888	44849139
chr10	44872691	44872788
chr10	44878067	44878305
chr10	44933199	44933309
chr10	44958165	44958261
chr10	44958650	44958846
chr10	45009145	45009600
chr10	45034876	45034974
chr10	45055313	45055998
chr10	45188911	45189024
chr10	45189923	45190138
chr10	45193684	45193858
chr10	45205505	45206846
chr10	45236868	45237108
chr10	45256951	45257287
chr10	45274881	45275052
chr10	45276447	45276626
chr10	45278531	45278846
chr10	45279460	45279702
chr10	45279906	45280049
chr10	45297584	45298192
chr10	45413789	45413920
chr10	45442137	45442282
chr10	45558937	45559212
chr10	45577229	45577456
chr10	45595170	45595324
chr10	45609583	45609729
chr10	45729347	45729535
chr10	46084427	46084685
chr10	46100080	46100352
chr10	46264459	46264752
chr10	46306075	46307535
chr10	46638848	46639088
chr10	46692508	46694384
chr10	46939854	46939919
chr10	46941376	46941516
chr10	47045676	47045980
chr10	47047007	47047292
chr10	47048378	47048769
chr10	47050722	47050927
chr10	47158231	47158904
chr10	47172505	47173429
chr10	47355940	47356090
chr10	47357998	47358376
chr10	47389378	47389743
chr10	47390671	47390810
chr10	47391672	47391914
chr10	47400663	47400835
chr10	47402571	47403233
chr10	47404800	47404993
chr10	47405651	47405826
chr10	47407318	47407499
chr10	47452821	47452976
chr10	47469669	47469854
chr10	47471728	47472197
chr10	47473178	47473431
chr10	47473742	47473857
chr10	47474177	47475432
chr10	47525282	47525501
chr10	47754168	47754353
chr10	47951680	47951913
chr10	48108242	48108545
chr10	48255934	48256352
chr10	48403263	48403487
chr10	48551264	48551933
chr10	48651742	48651975
chr10	48715446	48715536
chr10	49502522	49502940
chr10	49503103	49503206
chr10	49508178	49508674
chr10	49543343	49544572
chr10	49742502	49742665
chr10	49829067	49829309
chr10	49904333	49904625
chr10	49973023	49973126
chr10	49973465	49973988
chr10	50112502	50112624
chr10	50139459	50139593
chr10	50140818	50140946
chr10	50141283	50141765
chr10	50141983	50142414
chr10	50142621	50143127
chr10	50144903	50145024
chr10	50145199	50145474
chr10	50145615	50146912
chr10	50211186	50211597
chr10	50214948	50215141
chr10	50312246	50312882
chr10	50398960	50399234
chr10	50427473	50427583
chr10	50534539	50534674
chr10	50612271	50612512
